[2020-09-26 01:44:36,148 INFO] [********] The match loss is : 0.10588235408067703 -- 0.007913697510957718
[2020-09-26 01:44:37,954 INFO] [********] The match loss is : 0.1358024775981903 -- 0.007286891806870699
[2020-09-26 01:44:39,414 INFO] [********] The match loss is : 0.11235955357551575 -- 0.008793293498456478
[2020-09-26 01:44:41,601 INFO] [********] The match loss is : 0.12365591526031494 -- 0.008885934017598629
[2020-09-26 01:44:43,451 INFO] [********] The match loss is : 0.10493826866149902 -- 0.008447514846920967
[2020-09-26 01:44:44,219 INFO] [********] The match loss is : 0.1335616409778595 -- 0.014856545254588127
[2020-09-26 01:44:45,351 INFO] [********] The match loss is : 0.10606060922145844 -- 0.010753437876701355
[2020-09-26 01:44:45,360 INFO] [********] The match loss is : 0.10101009905338287 -- 0.010228670202195644
[2020-09-26 01:44:46,146 INFO] [********] The match loss is : 0.10000000149011612 -- 0.009884600527584553
[2020-09-26 01:44:46,366 INFO] [********] The match loss is : 0.15662649273872375 -- 0.00808620173484087
[2020-09-26 01:44:46,396 INFO] Loading dataset from examples/learning_fix/data/small/small.train.0.pt, number of examples: 46680
[2020-09-26 01:44:46,458 INFO] [********] The match loss is : 0.10176990926265717 -- 0.01151090208441019
[2020-09-26 01:44:46,553 INFO] [********] The match loss is : 0.11214952915906906 -- 0.010151873342692852
[2020-09-26 01:44:46,884 INFO] [********] The match loss is : 0.1568627506494522 -- 0.010666396468877792
[2020-09-26 01:44:47,216 INFO] [********] The match loss is : 0.10638297349214554 -- 0.015211950056254864
[2020-09-26 01:44:47,922 INFO] [********] The match loss is : 0.10588235408067703 -- 0.016389844939112663
[2020-09-26 01:44:48,008 INFO] [********] The match loss is : 0.10000000149011612 -- 0.0076478892005980015
[2020-09-26 01:44:48,011 INFO] [********] The match loss is : 0.1133333370089531 -- 0.007693828083574772
[2020-09-26 01:44:48,013 INFO] [********] The match loss is : 0.1066666692495346 -- 0.007436666171997786
[2020-09-26 01:44:48,015 INFO] [********] The match loss is : 0.10000000149011612 -- 0.007735831663012505
[2020-09-26 01:44:48,018 INFO] [********] The match loss is : 0.10000000149011612 -- 0.006259264424443245
[2020-09-26 01:44:48,125 INFO] [********] The match loss is : 0.10215053707361221 -- 0.009541772305965424
[2020-09-26 01:44:48,135 INFO] [********] The match loss is : 0.13978494703769684 -- 0.008789037354290485
[2020-09-26 01:44:48,238 INFO] [********] The match loss is : 0.11578948050737381 -- 0.009587396867573261
[2020-09-26 01:44:48,244 INFO] [********] The match loss is : 0.10526315867900848 -- 0.009362680837512016
[2020-09-26 01:44:48,459 INFO] [********] The match loss is : 0.15234375 -- 0.012032220140099525
[2020-09-26 01:44:48,552 INFO] [********] The match loss is : 0.10000000149011612 -- 0.008710222318768501
[2020-09-26 01:44:49,011 INFO] [********] The match loss is : 0.11688311398029327 -- 0.007327812258154154
[2020-09-26 01:44:49,012 INFO] [********] The match loss is : 0.11688311398029327 -- 0.0072891488671302795
[2020-09-26 01:44:49,016 INFO] [********] The match loss is : 0.11688311398029327 -- 0.007279105018824339
[2020-09-26 01:44:49,028 INFO] [********] The match loss is : 0.13636364042758942 -- 0.00704064778983593
[2020-09-26 01:44:49,030 INFO] [********] The match loss is : 0.11038961261510849 -- 0.006806772667914629
[2020-09-26 01:44:49,124 INFO] [********] The match loss is : 0.10000000149011612 -- 0.008265156298875809
[2020-09-26 01:44:49,127 INFO] [********] The match loss is : 0.11176470667123795 -- 0.008308717049658298
[2020-09-26 01:44:49,134 INFO] [********] The match loss is : 0.10000000149011612 -- 0.008302644826471806
[2020-09-26 01:44:49,145 INFO] [********] The match loss is : 0.1882352977991104 -- 0.00727912038564682
[2020-09-26 01:44:49,250 INFO] [********] The match loss is : 0.10309278219938278 -- 0.009155807085335255
[2020-09-26 01:44:49,358 INFO] [********] The match loss is : 0.10191082954406738 -- 0.014259051531553268
[2020-09-26 01:44:49,455 INFO] [********] The match loss is : 0.11347517371177673 -- 0.013161604292690754
[2020-09-26 01:44:49,555 INFO] [********] The match loss is : 0.12328767031431198 -- 0.007102118339389563
